A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,word1,word2,word3,word4,hint1,hint2,hint3,hint4
A,F,B,D,E,E,I,A,R,E,C,C,F,K,S,E,deck,face,beef,airs,10,14,8,8
P,A,N,S,W,U,V,A,I,A,F,O,L,F,P,W,nail,puff,swap,avow,9,8,10,13
W,A,B,V,E,E,H,G,G,E,T,I,O,S,P,D,begs,veto,aged,whip,7,10,12,11
C,R,H,F,A,O,A,W,V,T,M,P,S,S,E,E,hope,fave,cwms,rats,12,10,9,9
R,P,O,Y,A,D,E,A,D,C,T,T,E,E,T,S,rate,odds,pace,yett,8,10,9,13
G,V,S,B,E,E,N,A,A,Z,O,L,E,L,G,T,veal,snog,gaze,belt,7,12,8,13
E,L,P,R,V,A,E,E,A,A,C,E,N,P,K,K,rack,leap,peak,even,13,9,11,7
F,T,M,D,I,R,E,A,A,Z,F,M,Y,E,O,F,faze,miff,tray,demo,9,11,6,14
S,N,S,T,I,A,I,A,V,S,T,Z,E,K,Z,E,nave,sitz,size,task,11,12,7,10
R,X,R,L,A,R,A,E,A,P,A,N,S,Y,T,G,xray,leas,rapt,rang,7,12,9,12
